subject,model,min_cluster_size,min_samples,n_neighbors,n_components,n_topics,coherence,outlier_ratio
cs,all-distilroberta-v1,100,5,10,5,298,0.728100795156693,0.3337194430367528
cs,all-distilroberta-v1,100,5,10,10,301,0.7278998672778881,0.3461956128284948
cs,all-distilroberta-v1,100,5,15,5,292,0.7302953672549292,0.3762096093052438
cs,all-distilroberta-v1,100,5,15,10,288,0.7307526842867023,0.3819590241077246
cs,all-distilroberta-v1,100,5,25,5,270,0.7289180519177527,0.3999010593884987
cs,all-distilroberta-v1,100,5,25,10,256,0.7340171887378534,0.3729638746108738
cs,all-distilroberta-v1,100,10,10,5,276,0.7291080917428402,0.3307572576558314
cs,all-distilroberta-v1,100,10,10,10,306,0.72822961879774,0.367558338763001
cs,all-distilroberta-v1,100,10,15,5,273,0.7331797198158803,0.3747496319891889
cs,all-distilroberta-v1,100,10,15,10,286,0.7306273672192565,0.3790330365114988
cs,all-distilroberta-v1,100,10,25,5,261,0.7364399752236515,0.4055479138010087
cs,all-distilroberta-v1,100,10,25,10,259,0.7306340966019471,0.4160814691474215
cs,all-distilroberta-v1,100,20,10,5,277,0.7279828545551771,0.3561741354762421
cs,all-distilroberta-v1,100,20,10,10,279,0.7288633711098996,0.3519208957745119
cs,all-distilroberta-v1,100,20,15,5,270,0.7286362485843053,0.3844385723593716
cs,all-distilroberta-v1,100,20,15,10,266,0.7308921934447529,0.3752744998672748
cs,all-distilroberta-v1,100,20,25,5,243,0.7345492403871755,0.4123289654673134
cs,all-distilroberta-v1,100,20,25,10,229,0.731401924249532,0.3552148941818094
cs,all-distilroberta-v1,150,5,10,5,210,0.729995898363461,0.3189447139168416
cs,all-distilroberta-v1,150,5,10,10,216,0.729215969261507,0.3378640893843963
cs,all-distilroberta-v1,150,5,15,5,202,0.7351862140784501,0.3652115157219044
cs,all-distilroberta-v1,150,5,15,10,213,0.7318491968472246,0.3781401578223413
cs,all-distilroberta-v1,150,5,25,5,197,0.7321878953517325,0.3994485870798041
cs,all-distilroberta-v1,150,5,25,10,193,0.7293234851019189,0.3704601945027631
cs,all-distilroberta-v1,150,10,10,5,196,0.7301830419696274,0.3291283573445305
cs,all-distilroberta-v1,150,10,10,10,208,0.7272518908621883,0.3469014696300586
cs,all-distilroberta-v1,150,10,15,5,197,0.7321672293461695,0.3438548227515143
cs,all-distilroberta-v1,150,10,15,10,202,0.7241672849600316,0.3730483361084968
cs,all-distilroberta-v1,150,10,25,5,187,0.7325621024899827,0.3979644779072854
cs,all-distilroberta-v1,150,10,25,10,177,0.7213953226655598,0.3761010159511571
cs,all-distilroberta-v1,150,20,10,5,208,0.7329197697415525,0.3562103332609377
cs,all-distilroberta-v1,150,20,10,10,196,0.729763411271353,0.3345097613359395
cs,all-distilroberta-v1,150,20,15,5,206,0.7310069292492083,0.3846497261034291
cs,all-distilroberta-v1,150,20,15,10,197,0.7300220480553659,0.3690484808996356
cs,all-distilroberta-v1,150,20,25,5,184,0.7321335535626382,0.3922995246024277
cs,all-distilroberta-v1,150,20,25,10,172,0.7250000294927514,0.3343770361253891
cs,all-distilroberta-v1,200,5,10,5,171,0.7259663124948154,0.3321086416177997
cs,all-distilroberta-v1,200,5,10,10,171,0.722130631314175,0.3165435941987017
cs,all-distilroberta-v1,200,5,15,5,174,0.732702740873839,0.3692053379666498
cs,all-distilroberta-v1,200,5,15,10,172,0.7300730839535909,0.3860433408142088
cs,all-distilroberta-v1,200,5,25,5,157,0.7257619653836731,0.4051075074205458
cs,all-distilroberta-v1,200,5,25,10,139,0.7166704326567781,0.3324585535365235
cs,all-distilroberta-v1,200,10,10,5,168,0.7252480338425045,0.339348198556915
cs,all-distilroberta-v1,200,10,10,10,163,0.7156302914746551,0.306341851878665
cs,all-distilroberta-v1,200,10,15,5,154,0.7262315529032624,0.3447899321894833
cs,all-distilroberta-v1,200,10,15,10,166,0.7254185100524209,0.3756123458577668
cs,all-distilroberta-v1,200,10,25,5,158,0.7256178580204924,0.4091737252346823
cs,all-distilroberta-v1,200,10,25,10,146,0.7190920514131778,0.3727828856873959
cs,all-distilroberta-v1,200,20,10,5,165,0.7198758225384508,0.3265522816670286
cs,all-distilroberta-v1,200,20,10,10,154,0.7192855152707908,0.2827951929341924
cs,all-distilroberta-v1,200,20,15,5,157,0.7233589462450322,0.3566809044619802
