subject,k,alpha_var,phi_var,train_iter,eta_var,lr_a,lr_b,lr_c,min_cf,min_df,seed,coherence_cv,irbo_aggregated,irbo_tp_min,irbo_tp_max,topic_quality,ll_per_word,time_seconds
math,50,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.4305760667050852,0.8640276255565271,0.7782379233599779,0.9644820414033051,0.5747390012255337,-3.899773908779809,432.8
math,50,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4303997691801653,0.9250321071190052,0.6540414998084443,0.9854597208097258,0.5874638369510884,-10.83234757310783,446.1
math,50,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.43244218938228834,0.8376830045696758,0.7695732632717271,0.9647348002439138,0.5704153798844246,-3.887874826060419,434.0
math,50,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.43220831826005623,0.9317811331597575,0.6713645543186846,0.9839707526350893,0.5905083153395687,-10.827697502925497,441.2
math,75,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.4258834254029005,0.7048589583021808,0.7186025055003727,0.9233602880769317,0.5309569216005394,-0.3988340984371881,600.0
math,75,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4364496431301324,0.8299618266214718,0.6678375298594198,0.9608739082664931,0.5720676915720351,-10.784700150074652,614.0
math,75,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.42670556481410976,0.7155139045508525,0.7490847936936279,0.931340381104226,0.53459737460694,-0.38130586000476263,624.1
math,75,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.43722497267190613,0.8095043056417492,0.6668777717157169,0.9609363961533524,0.5677824433396521,-10.786809488934043,624.8
math,150,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.4498203698410324,0.6164609224668147,0.7059041996896867,0.845908528885735,0.5201191883173507,11.116116026827447,1159.3
math,150,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.44000134238719524,0.5791316832105518,0.6833102754876439,0.9034547799704618,0.5000695917633345,-9.616985661669956,1157.0
math,150,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.454907815033521,0.6164837497751237,0.7026822472457981,0.8451662683264886,0.5235121963349819,11.115933422269752,1155.9
math,150,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.43631233151141285,0.5746218303955306,0.6868125297955335,0.8893576981077086,0.49600577367828214,-9.613960975966542,1164.9
math,200,0.01,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.43451952329606935,0.5209986467007559,0.6980992463665385,0.8463117096307426,0.4738456906644944,19.239352408997775,1504.7
math,200,0.01,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4348446064658886,0.5267970806718906,0.6969396410220187,0.8505915256893533,0.47642458162138,-8.471454830880617,1511.9
math,200,0.1,0.01,500,0.1,0.01,0.1,0.55,5,3,42,0.44040761881185375,0.5222317070394151,0.6930244031469031,0.848807508001854,0.4778421499908958,19.220005475116427,1501.5
math,200,0.1,0.1,500,0.1,0.01,0.1,0.55,5,3,42,0.4407497997119381,0.538653117786251,0.697788985763831,0.8510111020749467,0.4848081408312532,-8.471295736337686,1484.8
