subject,num_topics,alpha,eta,passes,chunksize,random_state,workers,coherence_cv,irbo_mean,topic_quality,time_seconds
physics,25,asymmetric,auto,15,2000,42,5,0.5332325765000907,0.984123216504538,0.6916855766453327,143.1
physics,25,asymmetric,0.01,15,2000,42,5,0.5430306741632601,0.9854615385495239,0.7002140268555856,168.5
physics,25,0.01,auto,15,2000,42,5,0.5459890978137419,0.9849425221358714,0.7025367717952749,145.5
physics,25,0.01,0.01,15,2000,42,5,0.5468957024310841,0.9846982844035859,0.7032245680783215,167.1
physics,50,asymmetric,auto,15,2000,42,5,0.5714305230183155,0.9934652011636699,0.7255388723081886,286.4
physics,50,asymmetric,0.01,15,2000,42,5,0.5731341366948594,0.9933830666172779,0.7268885973153797,296.6
physics,50,0.01,auto,15,2000,42,5,0.5665774803867953,0.9938053571603384,0.7217045992891413,188.3
physics,50,0.01,0.01,15,2000,42,5,0.5628726659936915,0.9939236755605036,0.7187227437835213,233.8
physics,75,asymmetric,auto,15,2000,42,5,0.5615279095338899,0.996455561918954,0.7182843963113296,548.9
physics,75,asymmetric,0.01,15,2000,42,5,0.5626779345038461,0.9965015848730898,0.7192365555574569,379.2
physics,75,0.01,auto,15,2000,42,5,0.5646746617773671,0.996031714754649,0.7207427099751774,480.9
physics,75,0.01,0.01,15,2000,42,5,0.563843333587625,0.9959251156634955,0.7200373074464443,308.3
physics,150,asymmetric,auto,15,2000,42,5,0.5254034981142617,0.9985381828062363,0.6885243192904364,449.0
physics,150,asymmetric,0.01,15,2000,42,5,0.5268512924458817,0.9985124981120321,0.6897601784047552,547.0
physics,150,0.01,auto,15,2000,42,5,0.5161073317239746,0.9985073636968312,0.6804858988128801,415.8
physics,150,0.01,0.01,15,2000,42,5,0.5186529231474906,0.9985432035161299,0.6827032343294718,514.2
