subject,umap_n_neighbors,umap_n_components,hdbscan_min_cluster_size,hdbscan_cluster_selection_method,min_count,n_topics,coherence,irbo_mean,topic_quality,time_seconds
cs,10,5,15,eom,50,910,0.5700514125511001,0.9938333907042587,0.7245241171627463,87.1
cs,10,5,30,eom,50,517,0.5812403315634767,0.9926648862064499,0.7331786705778622,66.6
cs,10,5,50,eom,50,314,0.5774987043364901,0.9919039027091207,0.7299888710127234,68.1
cs,10,10,15,eom,50,921,0.5767201029237868,0.9937544522938633,0.7298662281458748,69.1
cs,10,10,30,eom,50,514,0.5754075283132407,0.9923025588599841,0.7284234086444799,65.1
cs,10,10,50,eom,50,301,0.5752695434098586,0.991886880952592,0.7282008410257557,64.6
cs,10,30,15,eom,50,899,0.5739732071160526,0.9937115393943617,0.7276511434891639,82.9
cs,10,30,30,eom,50,526,0.5778779613959134,0.9921469151752369,0.7303576463053927,82.5
cs,10,30,50,eom,50,298,0.5709283891950554,0.9917277052511942,0.7246706467168215,82.8
cs,15,5,15,eom,50,806,0.5708365664118962,0.9938126365434811,0.7251524393195421,68.9
cs,15,5,30,eom,50,468,0.5750173726761082,0.9924559436538166,0.7281519924725629,67.9
cs,15,5,50,eom,50,290,0.5739312610539234,0.9918513058828413,0.7271181615937734,66.9
cs,15,10,15,eom,50,815,0.573797005429681,0.993725659822726,0.727513318262737,69.5
cs,15,10,30,eom,50,476,0.5740797053604594,0.9926286476709854,0.7274461267595902,68.3
cs,15,10,50,eom,50,285,0.5783898225533919,0.991494602263208,0.7305893070856574,69.0
cs,15,30,15,eom,50,816,0.5757125369786269,0.9941593583228202,0.7291677850327676,83.1
cs,15,30,30,eom,50,467,0.5749748578670885,0.9927276995941506,0.7281910273836892,83.8
cs,15,30,50,eom,50,293,0.5861849891910351,0.9926196747074233,0.7370877051407067,84.1
cs,30,5,15,eom,50,652,0.5740869020920615,0.9938190144447617,0.7277713199819787,75.5
cs,30,5,30,eom,50,402,0.5766819472592006,0.9926636076537841,0.729541279730286,75.1
cs,30,5,50,eom,50,253,0.5884433524376849,0.9927177311543675,0.7388977072693046,76.0
cs,30,10,15,eom,50,697,0.5773498907720201,0.9934790893203009,0.7302959787126552,80.4
cs,30,10,30,eom,50,396,0.5760706692544855,0.9930675477834984,0.7291608612355944,79.9
cs,30,10,50,eom,50,269,0.5827572903391302,0.9923982250597816,0.734311367886412,79.4
